学生ID,学部,テストスコア,出席日数,クラス参加度,経済的背景,退学リスク,初任給,業界
1879,文,83,36,8,中,中,2597237,教育
1880,工,73,36,6,低,高,3952452,製造
1881,文,62,35,5,中,中,2465326,教育
1882,文,88,36,5,中,中,2455467,IT
1883,文,74,35,5,高,中,2431106,教育
1884,理,91,35,6,中,低,3098567,教育
1885,理,83,30,8,中,低,2889968,製造
1886,経済,82,42,7,中,低,4570165,教育
1887,工,73,36,7,高,高,4054170,教育
1888,工,74,33,8,中,高,4004959,教育
1889,文,67,37,8,低,中,2527546,IT
1890,経済,93,40,7,低,低,4417056,IT
1891,工,75,35,8,低,高,4093056,金融
1892,理,60,40,8,高,低,3156723,製造
1893,理,68,35,5,高,低,3033068,製造
1894,理,99,34,8,中,低,3122340,教育
1895,工,83,38,8,高,高,3918999,金融
1896,文,71,39,8,低,中,2581907,製造
1897,理,75,34,6,高,低,2837995,IT
1898,理,78,35,4,低,低,2945665,IT
1899,工,95,33,9,低,高,4044742,IT
1900,経済,96,42,10,低,低,4592056,製造
1901,文,88,35,5,低,中,2405376,教育
1902,工,90,35,8,高,高,4082568,IT
1903,工,95,37,9,高,高,3906970,IT
1904,文,54,37,6,低,中,2521079,製造
1905,文,66,40,6,高,中,2574139,金融
1906,理,88,40,9,低,低,3070335,教育
1907,経済,83,39,9,低,低,4476556,製造
1908,理,67,34,8,低,低,3000839,製造
1909,経済,97,39,7,低,低,4461930,教育
1910,理,79,38,5,中,低,3007149,教育
1911,文,83,40,8,低,中,2580619,IT
1912,経済,100,41,8,高,低,4446348,金融
1913,経済,94,39,7,高,低,4539460,IT
1914,経済,85,42,9,低,低,4535173,金融
1915,文,50,36,7,中,中,2425816,IT
1916,経済,94,40,7,低,低,4407644,教育
1917,工,87,33,9,中,高,4019368,金融
1918,工,83,35,9,高,高,4086692,金融
1919,経済,93,40,8,低,低,4484957,金融
1920,文,52,38,6,中,中,2563399,教育
1921,経済,87,39,7,中,低,4527301,金融
1922,工,83,35,9,中,高,3936403,製造
1923,工,95,38,9,高,高,3928964,製造
1924,工,80,34,6,中,高,4065869,金融
1925,工,90,37,8,中,高,4051665,教育
1926,経済,80,41,9,高,低,4412806,金融
1927,工,89,34,8,中,高,4071417,製造
1928,経済,83,40,10,中,低,4526137,製造
1929,文,50,37,5,中,中,2472335,製造
1930,理,82,30,7,中,低,3109558,製造
1931,工,92,35,6,高,高,3917551,金融
1932,経済,92,40,9,低,低,4498030,製造
1933,文,63,39,8,高,中,2545324,金融
1934,工,92,37,8,低,高,4064921,教育
1935,文,65,36,5,高,中,2410050,IT
1936,理,100,39,6,中,低,3167930,製造
1937,理,96,33,5,低,低,3083446,金融
1938,経済,95,41,9,中,低,4565498,教育
1939,経済,91,40,7,高,低,4524335,製造
1940,理,78,30,9,高,低,3095555,教育
1941,理,93,31,6,低,低,2887483,IT
1942,工,85,34,7,中,高,3967117,IT
1943,文,81,39,7,高,中,2586920,金融
1944,経済,95,40,9,低,低,4476744,金融
1945,理,99,37,7,低,低,3055217,IT
1946,工,79,36,7,低,高,4075535,IT
1947,経済,83,40,7,高,低,4539858,製造
1948,工,70,33,7,中,高,4054884,教育
1949,経済,81,38,8,中,低,4454868,金融
1950,理,86,40,6,高,低,2908721,IT
1951,経済,95,38,8,高,低,4514499,製造
1952,工,82,35,9,低,高,4001846,金融
1953,経済,93,39,8,低,低,4496277,製造
1954,理,89,30,9,中,低,2828067,金融
1955,文,57,35,6,中,中,2531054,IT
1956,文,69,36,7,高,中,2411341,金融
1957,文,60,36,7,高,中,2582262,製造
1958,経済,98,39,10,高,低,4417473,金融
1959,理,85,38,9,中,低,2855781,IT
1960,経済,83,42,10,中,低,4412359,教育
1961,経済,98,38,7,中,低,4541155,教育
1962,理,100,30,4,中,低,3169243,教育
1963,経済,86,41,10,中,低,4530219,金融
1964,工,78,38,6,高,高,4058445,IT
1965,理,85,31,7,中,低,3134217,金融
1966,経済,83,38,9,低,低,4506560,金融
1967,理,71,35,4,低,低,2878718,IT
1968,工,71,35,7,中,高,4099235,金融
1969,経済,88,40,7,低,低,4471534,製造
1970,経済,81,42,9,低,低,4424554,IT
1971,工,84,37,8,中,高,4045413,金融
1972,経済,84,40,10,中,低,4415257,IT
1973,工,79,36,6,低,高,4049748,製造
1974,経済,87,42,10,高,低,4577476,金融
1975,工,85,37,6,中,高,3951501,金融
1976,理,62,34,4,中,低,2958213,製造
1977,文,68,37,7,高,中,2583606,金融
1978,工,94,36,6,高,高,3907329,製造
1979,工,87,38,9,低,高,4013262,金融
1980,経済,89,38,10,低,低,4593278,製造
1981,工,92,37,7,低,高,3974074,IT
1982,工,75,33,6,低,高,4067410,教育
1983,文,77,39,8,中,中,2496978,製造
1984,理,79,33,7,低,低,2961966,製造
1985,工,87,38,6,中,高,3986323,金融
1986,経済,97,38,10,高,低,4512916,製造
1987,文,89,40,5,低,中,2411328,製造
1988,文,55,39,5,高,中,2443019,教育
1989,文,59,38,7,高,中,2456042,IT
1990,工,74,36,6,高,高,3946479,製造
1991,経済,83,38,8,中,低,4587349,金融
1992,工,90,37,8,高,高,3979588,教育
1993,文,60,36,6,高,中,2544521,教育
1994,工,84,36,7,中,高,4013504,教育
1995,工,83,35,6,低,高,3915744,製造
1996,理,100,30,5,低,低,2835725,金融
1997,経済,95,39,8,低,低,4438782,製造
1998,経済,86,38,9,低,低,4402958,教育
1999,理,80,37,6,高,低,2996929,製造
2000,文,56,37,7,高,中,2525340,製造
2001,理,62,36,7,低,低,2944570,IT
2002,工,85,37,6,高,高,4025444,金融
2003,工,90,36,7,低,高,3940973,金融
2004,経済,85,42,9,中,低,4449731,IT
2005,経済,88,39,9,低,低,4595643,教育
2006,経済,82,42,10,高,低,4481973,IT
2007,工,72,36,9,中,高,4074729,製造
2008,理,78,31,5,低,低,3005723,製造
2009,工,90,36,8,低,高,4008215,金融
2010,理,67,37,6,高,低,2981465,金融
2011,理,60,40,8,低,低,2969042,金融
2012,理,95,32,8,高,低,2954385,製造
2013,経済,100,39,8,高,低,4439472,IT
2014,経済,84,39,10,低,低,4498402,製造
2015,文,63,39,8,高,中,2545433,IT
2016,工,95,34,7,中,高,3906839,IT
2017,工,83,34,7,高,高,3956150,IT
2018,工,87,34,9,中,高,4042458,金融
2019,工,90,37,8,中,高,4045171,金融
2020,理,99,39,7,高,低,3052328,教育
2021,文,62,39,5,中,中,2444991,製造
2022,工,87,33,6,高,高,3965818,製造
2023,文,90,38,6,中,中,2464694,製造
2024,経済,81,39,9,中,低,4409015,製造
2025,経済,85,41,8,低,低,4541816,IT
2026,経済,91,41,8,中,低,4589125,教育
2027,理,93,31,9,中,低,2834389,製造
2028,文,85,37,8,高,中,2461640,教育
2029,文,57,39,8,中,中,2505714,金融
2030,経済,85,39,7,高,低,4575955,金融
2031,工,70,38,9,低,高,3933643,金融
2032,経済,84,39,10,中,低,4527101,IT
2033,経済,99,39,10,高,低,4567413,教育
2034,経済,96,42,8,中,低,4423042,教育
2035,文,66,35,7,低,中,2574801,金融
2036,工,81,37,7,低,高,3931740,製造
2037,文,56,35,8,低,中,2496160,金融
2038,文,67,36,6,低,中,2417659,金融
2039,工,90,37,9,低,高,3919261,金融
2040,理,77,38,7,低,低,2966579,教育
2041,理,93,34,6,高,低,2894381,製造
2042,文,62,37,5,高,中,2572329,教育
2043,経済,98,41,9,中,低,4439290,教育
2044,工,84,36,6,低,高,4063595,製造
2045,文,50,36,8,高,中,2522077,IT
2046,経済,91,41,7,低,低,4564948,IT
2047,文,90,38,7,高,中,2426796,教育
2048,工,80,36,9,高,高,4001933,金融
2049,経済,95,38,7,高,低,4597629,製造
2050,理,90,32,4,高,低,3047916,教育
2051,工,75,37,6,中,高,4076929,金融
2052,理,85,34,5,低,低,3193955,教育
2053,理,94,32,5,高,低,2987042,製造
2054,理,83,34,7,中,低,3190471,金融
2055,文,58,38,6,低,中,2468842,IT
2056,理,88,36,4,高,低,3063612,製造
2057,文,90,38,5,中,中,2550535,IT
2058,工,95,34,9,高,高,4065178,IT
2059,文,61,38,8,高,中,2510059,IT
2060,工,79,33,7,高,高,3971129,教育
2061,経済,94,39,8,中,低,4566209,IT
2062,工,82,35,7,中,高,4014768,教育
2063,文,85,39,6,低,中,2515612,製造
2064,工,87,38,9,低,高,3996245,教育
2065,経済,94,42,7,中,低,4445662,製造
2066,文,54,40,6,中,中,2491908,金融
2067,理,94,39,5,高,低,2969850,製造
2068,工,81,35,6,低,高,3983147,教育
2069,経済,98,38,7,低,低,4504937,製造
2070,経済,94,39,10,低,低,4413090,金融
2071,理,68,40,5,高,低,2804646,教育
2072,経済,81,40,7,高,低,4494847,IT
2073,工,90,34,8,高,高,3977463,製造
2074,工,95,36,7,高,高,3997087,金融
2075,工,81,35,9,高,高,4037953,金融
2076,工,72,38,6,高,高,3974546,IT
2077,理,70,31,5,高,低,2898208,金融
2078,文,76,35,8,中,中,2535542,製造
2079,文,90,38,5,中,中,2479849,製造
2080,理,85,39,9,中,低,2980725,製造
2081,工,71,34,7,中,高,4036027,製造
2082,経済,82,40,7,中,低,4502814,IT
2083,経済,92,40,10,高,低,4561924,教育
2084,経済,90,41,10,中,低,4407953,教育
2085,理,73,40,5,低,低,2979402,IT
2086,工,82,38,8,中,高,3959070,製造
2087,経済,88,40,9,高,低,4417612,金融
2088,経済,81,40,7,高,低,4440650,金融
2089,理,69,32,5,高,低,2898913,金融
2090,文,87,40,5,高,中,2435424,IT
2091,理,66,40,7,高,低,3004093,製造
2092,文,78,36,7,低,中,2436851,金融
2093,工,79,37,7,中,高,4089491,金融
2094,理,86,38,4,中,低,2946680,IT
2095,理,64,33,8,高,低,2829323,教育
2096,文,72,39,6,中,中,2484131,IT
2097,経済,98,39,7,低,低,4408978,教育
2098,文,67,36,5,低,中,2523819,製造
2099,経済,92,38,9,中,低,4546235,IT
2100,理,79,30,9,低,低,3183179,IT
2101,工,81,34,6,中,高,4011568,教育
2102,経済,94,40,9,高,低,4458667,金融
2103,文,87,38,5,低,中,2514048,教育
2104,理,79,40,5,低,低,2951353,金融
2105,文,51,38,6,高,中,2497753,IT
2106,工,88,37,7,中,高,4070243,製造
2107,工,91,35,8,低,高,3965139,金融
2108,工,90,37,9,中,高,4002422,教育
2109,文,80,39,5,中,中,2523349,IT
2110,理,60,36,4,中,低,2811824,教育
2111,理,61,38,4,中,低,3102440,製造
2112,文,60,40,8,高,中,2447780,製造
2113,文,90,36,6,高,中,2402894,製造
2114,経済,84,41,9,中,低,4484839,教育
2115,文,70,36,8,低,中,2409897,IT
2116,工,92,38,6,低,高,4001795,IT
2117,文,68,38,5,中,中,2489065,教育
2118,経済,93,42,10,低,低,4525344,教育
2119,理,90,38,6,高,低,2825545,金融
2120,工,82,34,9,中,高,3928489,教育
2121,文,61,38,5,低,中,2432442,製造
2122,工,89,37,6,高,高,4087838,教育
2123,文,87,38,5,低,中,2522200,金融
2124,経済,95,39,7,低,低,4413130,IT
2125,経済,84,38,9,低,低,4560091,製造
2126,理,86,30,6,低,低,2807452,教育
2127,文,59,35,7,高,中,2449863,製造
2128,経済,88,38,10,中,低,4561991,教育
2129,理,96,37,9,中,低,2950180,金融
2130,工,79,33,6,中,高,3920290,金融
2131,文,84,39,6,高,中,2494379,IT
2132,理,67,34,6,中,低,3155200,教育
2133,理,87,37,4,中,低,2898087,金融
2134,経済,82,42,9,高,低,4548666,IT
2135,理,92,32,8,中,低,2915760,製造
2136,経済,86,40,9,中,低,4523389,教育
2137,経済,94,39,10,高,低,4441459,IT
2138,理,86,36,7,中,低,2841974,IT
2139,文,57,38,6,高,中,2489475,金融
2140,理,79,37,7,高,低,2914372,IT
2141,経済,94,38,10,高,低,4422512,金融
2142,文,72,38,8,中,中,2406828,金融
2143,工,82,36,6,低,高,4018436,IT
2144,工,70,35,9,中,高,3954165,教育
2145,理,80,35,9,中,低,3087223,IT
2146,文,70,37,5,低,中,2509693,金融
2147,文,90,37,8,低,中,2570794,教育
2148,文,90,35,8,低,中,2467305,製造
2149,理,76,38,6,高,低,2853582,製造
2150,工,95,35,8,低,高,4091985,IT
2151,理,92,38,4,低,低,2861410,教育
2152,理,83,36,4,中,低,3177347,教育
2153,経済,96,39,7,低,低,4485101,教育
2154,文,66,40,7,高,中,2580298,IT
2155,工,77,35,9,低,高,3974035,製造
2156,経済,84,41,8,中,低,4463531,IT
2157,理,85,37,9,中,低,2957146,IT
2158,工,88,34,6,中,高,3948527,金融
2159,経済,80,40,8,低,低,4557539,教育
2160,文,80,36,5,高,中,2428283,製造
2161,経済,88,41,8,中,低,4414296,金融
2162,理,99,38,6,低,低,3051850,IT
2163,文,70,35,6,中,中,2594306,製造
2164,経済,80,42,9,中,低,4555947,金融
2165,経済,90,40,8,高,低,4531777,教育
2166,文,74,35,6,中,中,2514353,金融
2167,文,61,38,8,高,中,2402656,IT
2168,理,94,30,9,高,低,3050897,教育
2169,工,74,35,7,中,高,4089623,金融
2170,文,79,40,5,高,中,2400728,金融
2171,経済,80,40,9,中,低,4532412,教育
2172,理,69,32,9,中,低,3021787,教育
2173,経済,97,39,8,中,低,4535459,IT
2174,工,90,37,7,中,高,3964938,製造
2175,理,85,39,4,中,低,3106849,教育
2176,文,74,36,6,中,中,2467585,金融
2177,工,78,34,9,中,高,4062982,IT
2178,理,78,34,8,高,低,2907835,金融
2179,工,92,35,6,低,高,3984145,製造
2180,理,71,39,9,低,低,3036812,IT
2181,理,97,32,8,低,低,2979990,教育
2182,文,69,36,6,中,中,2520266,製造
2183,工,94,38,9,低,高,3916291,IT
2184,経済,94,41,7,高,低,4485366,製造
2185,工,74,33,8,中,高,3950872,IT
2186,工,78,34,8,高,高,4030521,IT
2187,文,82,40,8,低,中,2482094,教育
2188,経済,96,38,7,中,低,4444782,製造
2189,工,75,34,9,中,高,4087142,金融
2190,経済,94,40,9,中,低,4582550,製造
2191,理,87,32,4,高,低,3075852,製造
2192,経済,95,38,7,低,低,4439722,教育
2193,工,75,34,7,低,高,4069660,金融
2194,経済,97,40,7,低,低,4459134,製造
2195,工,71,34,6,中,高,4004781,金融
2196,工,74,36,9,高,高,3929069,IT
2197,経済,98,41,10,高,低,4406282,金融
2198,経済,81,41,10,高,低,4430442,製造
2199,文,77,39,6,低,中,2490085,金融
2200,経済,96,38,8,低,低,4583217,製造
2201,経済,94,38,10,高,低,4400261,製造
2202,文,50,36,7,中,中,2568064,金融
2203,文,82,36,8,中,中,2569766,金融
2204,文,70,39,7,低,中,2494874,教育
2205,経済,93,41,7,低,低,4436896,金融
2206,理,83,39,4,低,低,3148037,金融
2207,文,52,36,8,高,中,2403771,教育
2208,文,81,35,6,低,中,2533151,教育
2209,理,100,32,7,中,低,2941605,教育
2210,文,67,37,8,低,中,2441763,金融
2211,理,76,33,7,中,低,2934489,IT
2212,文,82,37,5,高,中,2578510,教育
2213,工,72,38,8,高,高,4052675,教育
2214,経済,94,39,10,中,低,4452651,IT
2215,経済,82,39,8,中,低,4536889,教育
2216,文,54,39,7,低,中,2419058,IT
2217,文,62,40,6,中,中,2405203,教育
2218,経済,98,41,8,中,低,4581320,製造
2219,理,69,33,7,高,低,3178473,金融
2220,文,80,38,5,中,中,2580402,金融
2221,経済,81,40,8,高,低,4585899,教育
2222,工,84,34,8,低,高,3993327,教育
2223,工,94,36,9,低,高,4002664,金融
2224,工,72,36,8,中,高,3971985,IT
2225,経済,80,42,9,中,低,4500331,教育
2226,工,94,36,6,中,高,3957148,金融
2227,文,78,37,5,低,中,2463165,製造
2228,文,78,35,5,中,中,2407157,製造
2229,文,89,35,7,高,中,2503582,製造
2230,理,86,32,6,中,低,3199719,金融
2231,工,71,38,6,高,高,3930471,製造
2232,経済,86,39,7,低,低,4594307,教育
2233,工,71,34,8,中,高,3953759,教育
2234,工,89,36,9,中,高,3968569,教育
2235,経済,92,38,8,中,低,4415527,IT
2236,理,76,33,9,高,低,2987194,製造
2237,経済,86,40,9,高,低,4550636,金融
2238,文,58,39,7,低,中,2407044,製造
2239,文,83,35,5,中,中,2403739,製造
2240,理,96,30,8,高,低,3105252,金融
2241,文,71,38,7,中,中,2598249,IT
2242,経済,95,40,9,低,低,4471251,金融
2243,経済,88,42,10,中,低,4477789,教育
2244,理,66,34,6,低,低,3098548,教育
2245,理,81,40,7,中,低,3185388,IT
2246,理,76,37,5,高,低,2820487,教育
2247,理,98,35,8,低,低,3135256,金融
2248,文,80,35,8,低,中,2402020,金融
2249,文,60,39,6,中,中,2470779,IT
2250,経済,84,40,7,高,低,4530499,IT
2251,工,77,37,8,中,高,4094507,IT
2252,工,93,34,8,高,高,4047453,IT
2253,工,88,36,6,低,高,3957791,教育
2254,理,75,40,6,中,低,3057951,教育
2255,文,63,35,5,高,中,2449473,金融
2256,文,58,36,8,高,中,2421396,製造
2257,文,53,38,7,中,中,2419399,製造
2258,経済,90,41,9,高,低,4457303,製造
2259,理,98,40,8,中,低,2962064,IT
2260,工,91,37,9,高,高,3980934,教育
2261,経済,99,41,8,低,低,4557678,教育
2262,理,65,37,9,低,低,3059538,教育
2263,工,72,35,9,高,高,4059738,金融
2264,経済,92,40,8,低,低,4476823,IT
2265,文,51,37,7,高,中,2519906,製造
2266,工,70,35,7,高,高,3967054,金融
2267,理,90,40,5,中,低,3034364,IT
2268,経済,97,42,8,中,低,4477654,製造
2269,理,69,32,7,高,低,2956895,金融
2270,文,74,38,8,低,中,2416216,教育
2271,理,84,37,7,低,低,2826590,製造
2272,工,83,36,6,中,高,4076706,IT
2273,経済,83,38,10,低,低,4564310,金融
2274,文,72,38,7,低,中,2461950,IT
2275,経済,94,38,8,低,低,4580253,教育
2276,理,94,35,8,高,低,3142768,IT
2277,経済,85,39,9,中,低,4485084,製造
2278,文,61,40,8,高,中,2425712,金融
2279,理,78,36,5,低,低,2951602,教育
2280,文,69,39,7,中,中,2408993,金融
2281,文,72,38,5,低,中,2474980,IT
2282,理,61,33,6,中,低,3099650,金融
2283,文,71,35,8,高,中,2521878,教育
2284,文,67,39,5,中,中,2551745,IT
2285,経済,96,39,8,低,低,4506420,教育
2286,文,62,38,7,低,中,2424915,教育
2287,理,64,37,4,高,低,3190390,IT
2288,文,65,38,5,高,中,2522851,教育
2289,工,83,37,8,中,高,3992532,教育
2290,工,76,34,7,中,高,3948316,金融
2291,工,70,33,8,低,高,3950596,教育
2292,文,85,35,8,低,中,2505147,IT
2293,理,68,38,6,中,低,2981597,教育
2294,理,67,31,9,低,低,3165228,製造
2295,工,89,36,8,低,高,3956973,製造
2296,文,78,40,8,中,中,2457468,製造
2297,経済,89,40,8,高,低,4557014,教育
2298,文,75,36,6,低,中,2523697,IT
2299,工,82,37,9,高,高,4044397,IT
2300,理,75,30,4,高,低,2877950,製造
2301,経済,87,41,7,高,低,4431060,教育
2302,文,51,38,8,中,中,2513570,金融
2303,文,74,36,8,低,中,2571980,教育
2304,理,72,39,4,低,低,2809964,製造
2305,文,59,40,7,低,中,2548743,IT
2306,経済,99,41,8,低,低,4448370,金融
2307,工,90,37,6,低,高,3929450,教育
2308,経済,82,40,10,低,低,4427121,教育
2309,工,81,36,8,中,高,4000215,IT
2310,工,74,34,7,高,高,3928486,教育
2311,理,72,34,4,低,低,3055880,金融
2312,理,95,40,9,中,低,2986028,製造
2313,経済,81,40,9,高,低,4581874,金融
2314,文,62,39,5,高,中,2496306,製造
2315,文,76,38,6,低,中,2536826,製造
2316,工,72,33,7,低,高,4058260,IT
2317,理,81,38,4,高,低,3030287,IT
2318,理,81,38,6,高,低,2902181,金融
2319,理,81,32,9,低,低,2854277,教育
2320,文,75,39,8,高,中,2538543,教育
2321,経済,83,39,9,中,低,4520480,製造
2322,経済,87,40,9,中,低,4558169,IT
2323,文,82,37,8,中,中,2518805,IT
2324,工,82,33,6,中,高,3909965,IT
2325,理,88,36,5,中,低,3166109,教育
2326,文,71,35,7,低,中,2512852,金融
2327,文,81,37,5,低,中,2465362,金融
2328,経済,86,42,9,中,低,4516938,教育
2329,理,66,36,7,低,低,2812029,製造
2330,理,86,35,8,低,低,3029133,IT
2331,文,89,35,8,低,中,2542792,教育
2332,経済,90,41,7,中,低,4413661,教育
2333,理,71,40,6,高,低,3196171,金融
2334,工,87,38,8,高,高,4051341,IT
2335,理,100,37,9,高,低,2896674,IT
2336,文,87,40,5,高,中,2442578,教育
2337,理,68,39,7,高,低,2846388,金融
2338,文,70,38,5,高,中,2418913,IT
2339,工,81,38,9,中,高,4015493,製造
2340,経済,84,42,8,高,低,4456434,IT
2341,文,88,38,6,低,中,2489820,教育
2342,経済,80,42,9,中,低,4518736,IT
2343,工,79,37,7,高,高,3906832,教育
2344,工,77,36,7,中,高,4046621,製造
2345,工,95,34,9,高,高,3920199,金融
2346,理,92,35,4,高,低,3015702,教育
2347,理,94,34,4,高,低,2844369,金融
2348,理,63,40,6,中,低,3110553,製造
2349,工,78,35,6,低,高,4021546,製造
2350,理,86,36,9,中,低,2892700,製造
2351,経済,96,40,7,中,低,4588397,IT
2352,経済,92,39,9,高,低,4544537,IT
2353,工,79,38,6,高,高,3968804,IT
2354,理,88,30,4,中,低,3060452,製造
2355,工,84,33,9,低,高,3996207,IT
2356,文,55,35,6,高,中,2405055,金融
2357,工,87,38,6,低,高,4096300,金融
2358,工,89,38,8,高,高,3948694,製造
2359,経済,88,38,7,低,低,4485527,IT
2360,経済,95,42,7,中,低,4523737,製造
2361,工,84,38,8,高,高,4050383,教育
2362,文,82,35,8,高,中,2463507,製造
2363,理,93,36,7,低,低,3135827,製造
2364,工,94,37,7,高,高,4055786,金融
2365,工,90,38,7,低,高,3958412,金融
2366,理,66,31,6,高,低,3151864,製造
2367,理,67,39,7,中,低,2948613,教育
2368,経済,80,42,10,中,低,4416426,IT
2369,理,76,39,5,高,低,2949754,製造
2370,文,58,40,7,高,中,2421662,製造
2371,経済,92,42,9,高,低,4558988,IT
2372,理,79,36,6,低,低,3158378,IT
2373,理,60,38,6,中,低,3121291,金融
2374,理,97,32,8,低,低,2908972,IT
2375,工,82,34,8,高,高,4015022,教育
2376,文,64,37,8,低,中,2514266,金融
2377,理,64,35,6,高,低,2863803,IT
2378,文,53,38,6,中,中,2523607,IT
2379,経済,94,40,8,中,低,4428686,IT
2380,工,74,37,9,低,高,3926189,製造
2381,理,88,31,8,高,低,3152204,教育
2382,経済,88,40,9,低,低,4483371,IT
2383,文,65,40,8,中,中,2436692,教育
2384,文,76,38,8,中,中,2531018,金融
2385,理,82,30,4,中,低,2881556,製造
2386,工,72,38,6,中,高,4014847,IT
2387,経済,85,40,7,低,低,4496333,金融
2388,文,64,38,8,高,中,2454672,教育
2389,工,90,36,9,中,高,3964479,教育
2390,工,73,33,8,低,高,4064305,IT
2391,文,83,39,7,高,中,2506459,製造
2392,工,83,34,7,高,高,4009843,金融
2393,経済,89,41,9,高,低,4560817,教育
2394,工,89,37,8,低,高,3985703,製造
2395,経済,89,42,7,中,低,4441740,製造
2396,文,86,40,5,中,中,2430131,教育
2397,理,71,36,7,高,低,3032713,製造
2398,工,74,38,6,中,高,4013580,金融
2399,経済,86,42,10,低,低,4410434,製造
2400,理,71,37,8,低,低,3108789,金融
2401,文,54,35,7,高,中,2594965,教育
2402,文,73,35,5,高,中,2413894,IT
2403,工,84,34,8,低,高,3954261,製造
2404,経済,87,41,8,高,低,4473992,金融
2405,経済,88,41,8,高,低,4458492,IT
2406,文,74,36,7,中,中,2563284,教育
2407,理,80,33,9,高,低,3093967,教育
2408,工,75,33,7,低,高,3902541,製造
2409,工,80,35,7,低,高,3946191,金融
2410,理,99,38,8,中,低,3174848,金融
2411,文,74,35,7,高,中,2544472,教育
2412,経済,97,41,9,低,低,4466443,IT
2413,工,82,38,8,高,高,4020866,製造
2414,理,68,34,6,中,低,3088968,製造
2415,理,73,34,8,低,低,2989644,IT
2416,文,75,37,7,低,中,2526211,教育
2417,経済,95,42,10,高,低,4541587,金融
2418,文,53,35,5,中,中,2562227,製造
2419,工,80,38,6,中,高,4042783,IT
2420,工,79,34,8,低,高,3921591,IT
2421,経済,81,38,7,中,低,4595374,教育
2422,理,97,38,4,中,低,2850782,金融
2423,工,74,36,6,中,高,4075507,教育
2424,経済,80,41,8,低,低,4576128,製造
2425,工,78,38,7,高,高,4006556,製造
2426,工,84,36,9,中,高,4034511,金融
2427,経済,88,41,9,低,低,4437450,IT
2428,工,94,38,9,高,高,4013672,製造
2429,経済,86,38,10,高,低,4533929,金融
2430,理,99,40,8,低,低,2889183,製造
2431,文,62,39,5,中,中,2539892,製造
2432,文,79,35,8,中,中,2574618,金融
2433,理,88,31,7,低,低,2950755,製造
2434,経済,90,39,10,高,低,4444957,金融
2435,理,77,34,7,中,低,3100067,IT
2436,経済,85,40,8,中,低,4425974,教育
2437,工,72,37,9,低,高,3906848,教育
2438,経済,95,41,9,中,低,4474268,IT
2439,理,88,39,6,低,低,2963988,金融
2440,文,67,40,7,中,中,2589129,IT
2441,文,62,35,7,中,中,2455421,金融
2442,文,83,37,6,低,中,2587214,製造
2443,工,85,33,7,低,高,4062232,金融
2444,経済,81,42,10,低,低,4497737,IT
2445,工,77,36,7,中,高,3935117,教育
2446,工,76,36,9,低,高,4088434,教育
2447,経済,91,41,8,高,低,4437974,教育
2448,工,77,37,7,高,高,3950435,製造
2449,文,84,36,8,高,中,2536650,金融
2450,理,75,40,4,高,低,2965927,製造
2451,文,83,39,8,高,中,2491224,製造
2452,工,94,37,8,高,高,3901115,金融
2453,文,64,35,8,低,中,2423661,製造
2454,工,77,36,6,低,高,3990427,教育
2455,経済,84,38,10,高,低,4412967,IT
2456,理,86,35,5,低,低,2899803,教育
2457,経済,92,41,10,低,低,4537706,製造
2458,理,61,35,7,中,低,2807323,教育
2459,文,65,35,7,低,中,2581575,製造
2460,経済,96,41,7,高,低,4505422,金融
2461,工,90,33,6,中,高,4068294,IT
2462,文,74,40,7,中,中,2559461,金融
2463,工,77,36,8,高,高,4050437,IT
2464,経済,90,40,7,高,低,4490467,教育
2465,文,73,37,7,高,中,2575848,金融
2466,経済,89,41,10,中,低,4439857,製造
2467,工,78,33,7,低,高,3997384,教育
2468,経済,80,39,9,高,低,4510311,製造
2469,工,86,34,6,中,高,4073132,金融
2470,理,75,32,6,低,低,3058536,教育
2471,経済,91,41,8,低,低,4591798,金融
2472,文,59,38,8,高,中,2594096,製造
2473,工,80,37,7,中,高,3944140,金融
2474,理,76,39,7,中,低,3198540,製造
2475,文,76,35,7,高,中,2478100,IT
2476,工,95,34,8,低,高,3906450,金融
2477,理,72,37,6,中,低,3166252,教育
2478,理,89,31,9,中,低,2887327,製造
2479,文,61,39,6,高,中,2519399,IT
2480,文,62,37,8,低,中,2491027,教育
2481,文,56,38,6,高,中,2500095,製造
2482,経済,85,40,8,中,低,4547877,IT
2483,文,54,40,8,低,中,2589945,IT
2484,理,60,30,5,中,低,2807257,教育
2485,文,64,39,5,中,中,2564535,教育
2486,文,70,37,7,中,中,2520217,教育
2487,理,82,40,5,低,低,2851117,金融
2488,経済,92,38,9,低,低,4422199,教育
2489,経済,90,38,10,中,低,4458806,IT
2490,文,73,40,7,低,中,2457873,教育
2491,文,69,35,5,高,中,2547830,教育
2492,文,64,38,8,低,中,2423735,IT
2493,工,76,36,6,高,高,3936234,金融
2494,文,79,37,6,高,中,2585794,金融
2495,工,86,36,9,低,高,4044625,教育
2496,理,75,32,7,高,低,3159595,教育
2497,文,64,40,8,高,中,2438188,教育
2498,理,96,31,8,中,低,2957789,製造
2499,経済,89,38,9,中,低,4488817,教育
2500,理,99,36,6,中,低,2839819,製造
2501,工,90,37,9,低,高,4093776,IT
2502,理,93,32,4,低,低,2835214,教育
2503,文,79,36,7,低,中,2522326,IT
2504,文,51,40,6,低,中,2442512,金融
2505,工,79,35,9,低,高,3994708,IT
